timestamp,day,mode,position_fraction,leverage,asset_symbol,asset_intraday_ret,position_open,entry_price,current_price,position_size,bar_realized_pnl,unrealized_pnl,day_realized_pnl,day_total_pnl,vix
2025-11-25 09:30:00-05:00,2025-11-25,SHORT,0.5,0.5,SOXX,-0.0017568671391110292,True,278.4100036621094,278.4100036621094,50000.0,0.0,0.0,0.0,0.0,18.559999465942383
2025-11-25 09:35:00-05:00,2025-11-25,SHORT,1.0,1.0,SOXX,-0.007117193958416653,True,276.9150085449219,276.9150085449219,100268.48803877785,268.4880387778544,0.0,268.4880387778544,268.4880387778544,18.559999465942383
2025-11-25 09:40:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.014405712594441093,True,329.7699890136719,329.7699890136719,100932.93334884969,664.4453100718433,0.0,932.9333488496977,932.9333488496977,18.559999465942383
2025-11-25 09:45:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.02045787768798264,True,329.7699890136719,327.7449951171875,100932.93334884969,0.0,619.7913115047323,932.9333488496977,1552.72466035443,18.559999465942383
2025-11-25 09:50:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.011357147059266161,True,329.7699890136719,330.7900085449219,100932.93334884969,0.0,-312.19809804437,932.9333488496977,620.7352508053277,18.559999465942383
2025-11-25 09:55:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.0069655307969056475,True,329.7699890136719,332.2593994140625,100932.93334884969,0.0,-761.9355987246707,932.9333488496977,170.99775012502698,18.559999465942383
2025-11-25 10:00:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.015078104442374002,True,329.7699890136719,329.5450134277344,100932.93334884969,0.0,68.85843641644016,932.9333488496977,1001.7917852661378,18.559999465942383
2025-11-25 10:05:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.01161125499311601,True,329.7699890136719,330.7049865722656,100932.93334884969,0.0,-286.17536284955145,932.9333488496977,646.7579860001463,18.559999465942383
2025-11-25 10:10:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.014585029248406923,True,329.7699890136719,329.7099914550781,100932.93334884969,0.0,18.363495115941582,932.9333488496977,951.2968439656393,18.559999465942383
2025-11-25 10:15:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.012492880006968358,True,329.7699890136719,330.4100036621094,100932.93334884969,0.0,-195.88973528561897,932.9333488496977,737.0436135640788,18.559999465942383
2025-11-25 10:20:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.015122979210304414,True,329.7699890136719,329.5299987792969,100932.93334884969,0.0,73.45398046376633,932.9333488496977,1006.3873293134641,18.559999465942383
2025-11-25 10:25:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.009982355642568825,True,329.7699890136719,331.25,100932.93334884969,0.0,-452.98800744548265,932.9333488496977,479.94534140421507,18.559999465942383
2025-11-25 10:30:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.007815506330124148,True,329.7699890136719,331.9750061035156,100932.93334884969,0.0,-674.8911373892387,932.9333488496977,258.04221146045904,18.559999465942383
2025-11-25 10:35:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.007755764515094841,True,329.7699890136719,331.9949951171875,100932.93334884969,0.0,-681.0091889156587,932.9333488496977,251.92415993403904,18.559999465942383
2025-11-25 10:40:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.004129481947254818,True,329.7699890136719,333.20831298828125,100932.93334884969,0.0,-1052.3702463010125,932.9333488496977,-119.43689745131474,18.559999465942383
2025-11-25 10:45:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.006321140074490291,True,329.7699890136719,332.4750061035156,100932.93334884969,0.0,-827.9264903798728,932.9333488496977,105.00685846982492,18.559999465942383
2025-11-25 10:50:00-05:00,2025-11-25,SHORT,1.0,1.0,SMH,-0.00707790013448749,True,329.7699890136719,332.2218017578125,100932.93334884969,0.0,-750.4280575329923,932.9333488496977,182.50529131670544,18.559999465942383
