date,action,asset,entry_price,exit_price,shares,notional,leverage,vix,pnl,equity_before,vix_chg_pct,smh_ret_pct,dd_pct
2023-02-06,ENTER_LONG,SMH,120.74909210205078,,2484.4907301369667,300000.0,3.0,19.43000030517578,0.0,100000.0,,,
2023-02-06,ENTER_SHORT,SOXL,15.754095077514648,,6347.555953418551,100000.0,1.0,19.43000030517578,0.0,100000.0,6.001093213574449,-1.663121355275743,
2023-02-06,EXIT_SHORT,SOXL,15.754095077514648,15.754095077514648,6347.555953418551,,,,0.0,100000.0,,,
2023-02-08,ENTER_SHORT,SOXL,16.135719299316406,,6380.47509438253,102953.55511923585,1.0,19.6299991607666,0.0,102953.55511923585,5.198281464557564,-1.9592275492933742,
2023-02-08,EXIT_SHORT,SOXL,16.135719299316406,16.135719299316406,6380.47509438253,,,,0.0,102953.55511923585,,,
2023-02-16,STOP_LOSS_LONG,SMH,120.74909210205078,121.41007995605467,2484.4907301369667,,,,1642.2181960057965,101642.2181960058,,,-2.7154221076254323
2023-02-16,ENTER_LONG,SMH,121.41007995605467,,2511.543149451742,304926.6545880174,3.0,20.170000076293945,0.0,101642.2181960058,,,
2023-02-16,ENTER_SHORT,SOXL,15.930231094360352,,6380.460998584594,101642.2181960058,1.0,20.170000076293945,0.0,101642.2181960058,10.641802428809232,-2.7154221076254315,
2023-02-16,EXIT_SHORT,SOXL,15.930231094360352,15.930231094360352,6380.460998584594,,,,0.0,101642.2181960058,,,
2023-02-21,STOP_LOSS_LONG,SMH,121.41007995605467,116.11229705810548,2511.543149451742,,,,-13305.610344626886,88336.60785137891,,,-3.039916035851427
2023-02-21,ENTER_LONG,SMH,116.11229705810548,,2282.3579437199423,265009.82355413673,3.0,22.8700008392334,0.0,88336.60785137891,,,
2023-02-21,ENTER_SHORT,SOXL,13.708998680114746,,9665.542675211585,132504.91177706837,1.5,22.8700008392334,0.0,88336.60785137891,14.235765815702116,-3.039916035851431,
2023-02-21,EXIT_SHORT,SOXL,13.708998680114746,13.708998680114746,9665.542675211585,,,,0.0,88336.60785137891,,,
2023-02-24,ENTER_SHORT,SOXL,14.002552032470703,,6535.342226914352,91511.46958237117,1.0,21.670000076293945,0.0,91511.46958237117,2.507098873924418,-1.7852669846324498,
2023-02-24,EXIT_SHORT,SOXL,14.002552032470703,14.002552032470703,6535.342226914352,,,,0.0,91511.46958237117,,,
