date,vix,leverage,position_shares,smh_price,equity,in_position
2022-07-05,27.540000915527344,0.0,0,96.09276580810548,100000.0,False
2022-07-06,26.729999542236328,0.0,0,96.7463150024414,100000.0,False
2022-07-07,26.079999923706055,0.0,0,101.21394348144533,100000.0,False
2022-07-08,24.63999938964844,0.0,0,101.7602081298828,100000.0,False
2022-07-11,26.170000076293945,0.0,0,99.32154083251952,100000.0,False
2022-07-12,27.290000915527344,0.0,0,99.28252410888672,100000.0,False
2022-07-13,26.81999969482422,0.0,0,100.0677719116211,100000.0,False
2022-07-14,26.399999618530273,0.0,0,102.17964935302734,100000.0,False
2022-07-15,24.229999542236328,0.0,0,104.75973510742188,100000.0,False
2022-07-18,25.299999237060547,0.0,0,103.9842529296875,100000.0,False
2022-07-19,24.5,0.0,0,108.73474884033205,100000.0,False
2022-07-20,23.8799991607666,0.0,0,111.29534149169922,100000.0,False
2022-07-21,23.11000061035156,0.0,0,113.1633529663086,100000.0,False
2022-07-22,23.030000686645508,0.0,0,110.60276794433594,100000.0,False
2022-07-25,23.36000061035156,0.0,0,109.91992950439452,100000.0,False
2022-07-26,24.690000534057617,0.0,0,108.26165008544922,100000.0,False
2022-07-27,23.239999771118164,0.0,0,113.32917785644533,100000.0,False
2022-07-28,22.329999923706055,0.0,0,114.7143325805664,100000.0,False
2022-07-29,21.329999923706055,0.0,0,115.6702880859375,100000.0,False
2022-08-01,22.84000015258789,0.0,0,115.90438842773438,100000.0,False
2022-08-02,23.93000030517578,0.0,0,115.6654052734375,100000.0,False
2022-08-03,21.950000762939453,0.0,0,118.43084716796876,100000.0,False
2022-08-04,21.440000534057617,0.0,0,119.63553619384766,100000.0,False
2022-08-05,21.149999618530273,0.0,0,118.8210220336914,100000.0,False
2022-08-08,21.290000915527344,0.0,0,116.7676773071289,100000.0,False
2022-08-09,21.770000457763672,0.0,0,111.88062286376952,100000.0,False
2022-08-10,19.739999771118164,0.0,0,116.41162872314452,100000.0,False
2022-08-11,20.200000762939453,0.0,0,116.38724517822266,100000.0,False
2022-08-12,19.530000686645508,0.0,0,119.67455291748048,100000.0,False
2022-08-15,19.950000762939453,0.0,0,120.2159423828125,100000.0,False
2022-08-16,19.690000534057617,0.0,0,118.86004638671876,100000.0,False
2022-08-17,19.899999618530273,0.0,0,116.30921936035156,100000.0,False
2022-08-18,19.559999465942383,0.0,0,117.93335723876952,100000.0,False
