date,action,entry_price,shares,leverage,pnl,equity_before,exit_price,close_price,bull,ema_fast,ema_slow
2022-07-11,ENTER_SHORT,12.546656608581545,11955.376215318143,1.5,0.0,100000.0,,,,,
2022-07-11,EXIT_SHORT,12.546656608581545,11955.376215318143,,0.0,100000.0,12.546656608581545,,,,
2022-07-18,ENTER_SHORT,14.50008773803711,10344.764991077609,1.5,0.0,100000.0,,,,,
2022-07-18,EXIT_SHORT,14.50008773803711,10344.764991077609,,0.0,100000.0,14.50008773803711,,,,
2022-07-26,ENTER_SHORT,15.96759033203125,9394.028584206442,1.5,0.0,100000.0,,,,,
2022-07-26,EXIT_SHORT,15.96759033203125,9394.028584206442,,0.0,100000.0,15.96759033203125,,,,
2022-08-09,ENTER_SHORT,17.192129135131836,5816.6152204878235,1.0,0.0,100000.0,,,,,
2022-08-09,EXIT_SHORT,17.192129135131836,5816.6152204878235,,0.0,100000.0,17.192129135131836,,,,
2022-08-19,ENTER_SHORT,18.630475997924805,5367.549385809504,1.0,0.0,100000.0,,,,,
2022-08-19,EXIT_SHORT,18.630475997924805,5367.549385809504,,0.0,100000.0,18.630475997924805,,,,
2022-08-22,ENTER_SHORT,16.5604248046875,9057.73866124146,1.5,0.0,100000.0,,,,,
2022-08-22,EXIT_SHORT,16.5604248046875,9057.73866124146,,0.0,100000.0,16.5604248046875,,,,
2022-08-26,ENTER_SHORT,15.530253410339355,9658.567444890283,1.5,0.0,100000.0,,,,,
2022-08-26,EXIT_SHORT,15.530253410339355,9658.567444890283,,0.0,100000.0,15.530253410339355,,,,
2022-08-29,ENTER_SHORT,14.626429557800291,10255.407815505107,1.5,0.0,100000.0,,,,,
2022-08-29,EXIT_SHORT,14.626429557800291,10255.407815505107,,0.0,100000.0,14.626429557800291,,,,
2022-09-06,ENTER_SHORT,12.070446968078612,12427.046023787567,1.5,0.0,100000.0,,,,,
2022-09-06,EXIT_SHORT,12.070446968078612,12427.046023787567,,0.0,100000.0,12.070446968078612,,,,
2022-09-13,ENTER_SHORT,11.749735832214355,12766.244462172814,1.5,0.0,100000.0,,,,,
2022-09-13,EXIT_SHORT,11.749735832214355,12766.244462172814,,0.0,100000.0,11.749735832214355,,,,
2022-09-20,ENTER_SHORT,11.407934188842772,13148.743454945903,1.5,0.0,100000.0,,,,,
2022-09-20,EXIT_SHORT,11.407934188842772,13148.743454945903,,0.0,100000.0,11.407934188842772,,,,
2022-09-21,ENTER_SHORT,11.1154203414917,13494.766314871531,1.5,0.0,100000.0,,,,,
2022-09-21,EXIT_SHORT,11.1154203414917,13494.766314871531,,0.0,100000.0,11.1154203414917,,,,
2022-09-23,ENTER_SHORT,9.779619216918944,15338.020496799803,1.5,0.0,100000.0,,,,,
2022-09-23,EXIT_SHORT,9.779619216918944,15338.020496799803,,0.0,100000.0,9.779619216918944,,,,
2022-09-26,ENTER_SHORT,9.311602592468262,16108.934902497695,1.5,0.0,100000.0,,,,,
2022-09-26,EXIT_SHORT,9.311602592468262,16108.934902497695,,0.0,100000.0,9.311602592468262,,,,
2022-09-29,ENTER_SHORT,9.05809211730957,16559.77859988389,1.5,0.0,100000.0,,,,,
2022-09-29,EXIT_SHORT,9.05809211730957,16559.77859988389,,0.0,100000.0,9.05809211730957,,,,
2022-10-06,ENTER_SHORT,10.910664558410645,13748.01683224422,1.5,0.0,100000.0,,,,,
2022-10-06,EXIT_SHORT,10.910664558410645,13748.01683224422,,0.0,100000.0,10.910664558410645,,,,
2022-10-07,ENTER_SHORT,8.98008918762207,16703.620294412693,1.5,0.0,100000.0,,,,,
2022-10-07,EXIT_SHORT,8.98008918762207,16703.620294412693,,0.0,100000.0,8.98008918762207,,,,
2022-10-10,ENTER_SHORT,8.073305130004883,18579.75111612179,1.5,0.0,100000.0,,,,,
2022-10-10,EXIT_SHORT,8.073305130004883,18579.75111612179,,0.0,100000.0,8.073305130004883,,,,
2022-10-11,ENTER_SHORT,7.3810296058654785,20322.368017708475,1.5,0.0,100000.0,,,,,
2022-10-11,EXIT_SHORT,7.3810296058654785,20322.368017708475,,0.0,100000.0,7.3810296058654785,,,,
2022-11-09,ENTER_SHORT,9.0093412399292,16649.386010067345,1.5,0.0,100000.0,,,,,
2022-11-09,EXIT_SHORT,9.0093412399292,16649.386010067345,,0.0,100000.0,9.0093412399292,,,,
2022-11-14,ENTER_SHORT,12.451220512390137,12047.011764889705,1.5,0.0,100000.0,,,,,
2022-11-14,EXIT_SHORT,12.451220512390137,12047.011764889705,,0.0,100000.0,12.451220512390137,,,,
