date,eod_equity,peak_equity,drawdown_%,daily_change_%,long_stop,short_entered
2022-07-06,100000.0,100000.0,0.0,0.0,False,False
2022-07-07,113853.63921785913,113853.63921785913,0.0,13.853639217859136,False,False
2022-07-08,115547.54760627792,115547.54760627792,0.0,15.547547606277924,False,False
2022-07-11,107985.50052272211,115547.54760627792,6.544532740169509,7.985500522722111,False,False
2022-07-12,107864.51382581748,115547.54760627792,6.64924002250568,7.864513825817476,False,False
2022-07-13,110299.48347623122,115547.54760627792,4.541908710974285,10.29948347623122,False,False
2022-07-14,116848.1900849107,116848.1900849107,0.0,16.848190084910698,False,False
2022-07-15,124848.76071438457,124848.76071438457,0.0,24.848760714384575,False,False
2022-07-18,122444.07322510457,124848.76071438457,1.9260803835940188,22.444073225104578,False,False
2022-07-19,137174.85416655336,137174.85416655336,0.0,37.17485416655335,False,False
2022-07-20,145114.97876345163,145114.97876345163,0.0,45.11497876345163,False,False
2022-07-21,150907.48302956935,150907.48302956935,0.0,50.907483029569356,False,False
2022-07-22,142967.38209060943,150907.48302956935,5.261568730428105,42.96738209060944,False,False
2022-07-25,140849.9729471474,150907.48302956935,6.66468612457822,40.84997294714741,False,False
2022-07-26,135707.82540725367,150907.48302956935,10.072169595020952,35.70782540725366,False,False
2022-07-27,151421.68832038343,151421.68832038343,0.0,51.42168832038343,False,False
2022-07-28,155716.9053240061,155716.9053240061,0.0,55.716905324006106,False,False
2022-07-29,158681.22134580076,158681.22134580076,0.0,58.68122134580076,False,False
2022-08-01,159407.14152722876,159407.14152722876,0.0,59.407141527228745,False,False
2022-08-02,158666.08026523388,159407.14152722876,0.46488586075567884,58.66608026523388,False,False
2022-08-03,167241.4205077893,167241.4205077893,0.0,67.2414205077893,False,False
2022-08-04,170977.03263683576,170977.03263683576,0.0,70.97703263683577,False,False
2022-08-05,168451.3111347743,170977.03263683576,1.4772285277790693,68.4513111347743,False,False
2022-08-08,162084.1082293902,170977.03263683576,5.20123917832555,62.08410822939019,False,False
2022-08-09,146929.8738487751,170977.03263683576,14.064554997359258,46.92987384877512,False,False
2022-08-10,160980.03956080452,170977.03263683576,5.84698010127792,60.980039560804514,False,False
2022-08-11,160904.42878972375,170977.03263683576,5.8912028661222315,60.90442878972375,False,False
2022-08-12,171098.01933374046,171098.01933374046,0.0,71.09801933374047,False,False
