date,equity
2022-07-05,100000.0
2022-07-06,100000.0
2022-07-07,100000.0
2022-07-08,100000.0
2022-07-11,100000.0
2022-07-12,100000.0
2022-07-13,100000.0
2022-07-14,100000.0
2022-07-15,100000.0
2022-07-18,100000.0
2022-07-19,100000.0
2022-07-20,100000.0
2022-07-21,100000.0
2022-07-22,100000.0
2022-07-25,100000.0
2022-07-26,100000.0
2022-07-27,100000.0
2022-07-28,100000.0
2022-07-29,100000.0
2022-08-01,100000.0
2022-08-02,100000.0
2022-08-03,100000.0
2022-08-04,100000.0
2022-08-05,100000.0
2022-08-08,100000.0
2022-08-09,100000.0
2022-08-10,100000.0
2022-08-11,100000.0
2022-08-12,100000.0
2022-08-15,100000.0
2022-08-16,100000.0
2022-08-17,100000.0
2022-08-18,100000.0
2022-08-19,100000.0
2022-08-22,100000.0
2022-08-23,100000.0
2022-08-24,100000.0
2022-08-25,100000.0
2022-08-26,100000.0
2022-08-29,100000.0
2022-08-30,100000.0
2022-08-31,100000.0
2022-09-01,100000.0
2022-09-02,100000.0
2022-09-06,100000.0
2022-09-07,100000.0
2022-09-08,100000.0
2022-09-09,100000.0
2022-09-12,100000.0
2022-09-13,100000.0
2022-09-14,100000.0
2022-09-15,100000.0
2022-09-16,100000.0
2022-09-19,100000.0
2022-09-20,100000.0
2022-09-21,100000.0
2022-09-22,100000.0
2022-09-23,100000.0
2022-09-26,100000.0
2022-09-27,100000.0
2022-09-28,100000.0
2022-09-29,100000.0
2022-09-30,100000.0
2022-10-03,100000.0
2022-10-04,100000.0
2022-10-05,100000.0
2022-10-06,100000.0
2022-10-07,100000.0
2022-10-10,100000.0
2022-10-11,100000.0
2022-10-12,100000.0
2022-10-13,100000.0
2022-10-14,100000.0
2022-10-17,100000.0
2022-10-18,100000.0
2022-10-19,100000.0
2022-10-20,100000.0
2022-10-21,100000.0
2022-10-24,100000.0
2022-10-25,100000.0
2022-10-26,100000.0
2022-10-27,100000.0
2022-10-28,100000.0
2022-10-31,100000.0
2022-11-01,100000.0
2022-11-02,100000.0
2022-11-03,100000.0
2022-11-04,100000.0
2022-11-07,100000.0
2022-11-08,100000.0
2022-11-09,100000.0
2022-11-10,100000.0
2022-11-11,100000.0
2022-11-14,100000.0
2022-11-15,100000.0
2022-11-16,100000.0
2022-11-17,100000.0
2022-11-18,100000.0
2022-11-21,100000.0
2022-11-22,100000.0
2022-11-23,100000.0
2022-11-25,100000.0
2022-11-28,100000.0
2022-11-29,100000.0
2022-11-30,100000.0
2022-12-01,100000.0
2022-12-02,100000.0
2022-12-05,100000.0
2022-12-06,100000.0
2022-12-07,100000.0
2022-12-08,100000.0
2022-12-09,100000.0
2022-12-12,100000.0
2022-12-13,100000.0
2022-12-14,94300.94971907044
2022-12-15,88926.04407014465
2022-12-16,86856.38297547912
2022-12-19,83857.51668974305
2022-12-20,82628.33758207703
2022-12-21,88219.90219541932
2022-12-22,88219.90219541932
2022-12-23,88219.90219541932
2022-12-27,88219.90219541932
2022-12-28,88219.90219541932
2022-12-29,88219.90219541932
2022-12-30,88219.90219541932
2023-01-03,88219.90219541932
2023-01-04,88219.90219541932
2023-01-05,88219.90219541932
2023-01-06,88219.90219541932
2023-01-09,88219.90219541932
2023-01-10,88219.90219541932
2023-01-11,88219.90219541932
2023-01-12,88219.90219541932
2023-01-13,88219.90219541932
2023-01-17,89790.44559141538
2023-01-18,88126.183323349
2023-01-19,84732.60926133725
2023-01-20,92997.1624839935
2023-01-23,105370.890816513
2023-01-24,103420.18860704034
2023-01-25,100149.7627101287
2023-01-26,105533.26234391777
2023-01-27,99722.7152309417
2023-01-30,94039.98781098929
2023-01-31,98326.75197114557
2023-02-01,111827.0409115752
2023-02-02,118239.0706967315
2023-02-03,112420.88833564753
2023-02-06,106014.37754669182
2023-02-07,115560.54933776843
2023-02-08,109338.45724314867
2023-02-09,110638.81956309496
2023-02-10,104381.86677722154
2023-02-13,109090.5237214964
2023-02-14,115928.98357562235
2023-02-15,109761.30332924631
2023-02-16,103506.13302436045
2023-02-17,97607.66710985542
2023-02-21,92044.55610277533
2023-02-22,90695.61005785338
2023-02-23,100431.58169176451
2023-02-24,95026.04239989439
2023-02-27,96306.47036315122
2023-02-28,96450.08100463069
2023-03-01,96641.53718138853
2023-03-02,91194.64339771235
2023-03-03,94906.22170581785
2023-03-06,92439.39112415278
2023-03-07,89639.59688758054
2023-03-08,96671.55367468992
2023-03-09,91430.45610762754
2023-03-10,86219.57338116421
2023-03-13,81306.89750973476
2023-03-14,88605.36930386318
2023-03-15,83833.4112188946
2023-03-16,93894.1626074444
2023-03-17,92563.83272005424
2023-03-20,95182.92219759336
2023-03-21,96014.40851808894
2023-03-22,94320.28226686823
2023-03-23,101283.82145906794
2023-03-24,96174.99009136925
2023-03-27,92809.8058796383
2023-03-28,90693.51659601556
2023-03-29,99163.26973932613
2023-03-30,103180.41317957269
2023-03-31,105161.81666773187
2023-04-03,103528.860277351
2023-04-04,99717.84907453117
2023-04-05,94035.47790718802
2023-04-06,93188.57695961725
2023-04-10,97445.26288796194
2023-04-11,95929.80672646292
2023-04-12,92020.59593766744
2023-04-13,94247.59869187887
2023-04-14,93949.91016954
2023-04-17,93751.4625224453
2023-04-18,94997.25948899801
2023-04-19,92351.34770005755
2023-04-20,92660.01751512106
2023-04-21,89697.04613526877
2023-04-24,88256.35674317893
2023-04-25,84585.84690373189
2023-04-26,86356.96583073381
2023-04-27,88828.02562992818
2023-04-28,93144.4452313686
2023-05-01,95148.88325016746
2023-05-02,92858.11100285298
2023-05-03,90128.62855885277
2023-05-04,89221.78444264183
2023-05-05,94917.30464527858
2023-05-08,96443.47320912135
2023-05-09,92174.60408375511
2023-05-10,94386.44778797872
2023-05-11,91187.38596437038
2023-05-12,90876.21302888454
2023-05-15,98033.29367921413
2023-05-16,97966.61744782985
2023-05-17,105546.01527497829
2023-05-18,115637.0735635525
2023-05-19,113992.32443330348
2023-05-22,113747.82772920192
2023-05-23,109976.38342359886
2023-05-24,103709.26027542078
2023-05-25,130455.23927932703
2023-05-26,147051.2055574032
2023-05-30,148758.95134597743
2023-05-31,141992.28721929895
2023-06-01,148395.48990179406
2023-06-02,147333.24129034387
2023-06-05,140181.99806973228
2023-06-06,143153.60752102622
2023-06-07,140735.59545132407
2023-06-08,145600.72783657798
2023-06-09,147552.64749905356
2023-06-12,160196.3052291561
2023-06-13,166285.11042019614
2023-06-14,173073.09928128013
2023-06-15,169810.18207546958
2023-06-16,166605.61653897056
2023-06-20,164460.24928721576
2023-06-21,154307.01185740615
2023-06-22,156791.34309519912
2023-06-23,147218.11141572523
2023-06-26,145013.01871858168
2023-06-27,160124.46154389906
2023-06-28,155681.77529511976
2023-06-29,154968.3614767604
2023-06-30,162524.1079672389
2023-07-03,166901.89281831312
2023-07-05,157438.11058810377
2023-07-06,148466.5592023616
2023-07-07,148885.2549268489
2023-07-10,155194.6429120784
2023-07-11,155673.04659860182
2023-07-12,165182.01360909987
2023-07-13,176275.85470407057
2023-07-14,172358.57765023757
2023-07-17,181090.09242074538
2023-07-18,182405.74880807448
