date,equity,smh,vix,ema_fast,ema_slow,bull,long_shares,short_shares
2022-07-05,100000.0,96.09276580810548,27.540000915527344,105.23694393164836,121.45652513254109,False,0.0,0
2022-07-06,100000.0,96.7463150024414,26.729999542236328,104.58381862940168,121.06429957492047,False,0.0,0
2022-07-07,100000.0,101.21394348144533,26.079999923706055,104.32459746417427,120.74921455756373,False,0.0,0
2022-07-08,100000.0,101.7602081298828,24.63999938964844,104.12733674615185,120.44780175712435,False,0.0,0
2022-07-11,100000.0,99.32154083251952,26.170000076293945,103.75766013741091,120.11246428213063,False,0.0,0
2022-07-12,100000.0,99.28252410888672,27.290000915527344,103.41341890444751,119.78183031112677,False,0.0,0
2022-07-13,100000.0,100.0677719116211,26.81999969482422,103.15606144346087,119.46890874922985,False,0.0,0
2022-07-14,100000.0,102.17964935302734,26.399999618530273,103.08095282111984,119.19447606040124,False,0.0,0
2022-07-15,100000.0,104.75973510742188,24.229999542236328,103.21008992006615,118.96535318813173,False,0.0,0
2022-07-18,100000.0,103.9842529296875,25.299999237060547,103.26964092080627,118.72755794593421,False,0.0,0
2022-07-19,100000.0,108.73474884033205,24.5,103.69003383769287,118.56894192838497,False,0.0,0
2022-07-20,100000.0,111.29534149169922,23.8799991607666,104.27505750338567,118.45348795319948,False,0.0,0
2022-07-21,100000.0,113.1633529663086,23.11000061035156,104.95877253899513,118.36951755658218,False,0.0,0
2022-07-22,100000.0,110.60276794433594,23.030000686645508,105.39292603171367,118.24623581670527,False,0.0,0
2022-07-25,100000.0,109.91992950439452,23.36000061035156,105.74115706807375,118.11407222444637,False,0.0,0
2022-07-26,100000.0,108.26165008544922,24.690000534057617,105.9350411463334,117.95768457144642,False,0.0,0
2022-07-27,100000.0,113.32917785644533,23.239999771118164,106.5038208932651,117.88421621089086,False,0.0,0
2022-07-28,100000.0,114.7143325805664,22.329999923706055,107.13539871536521,117.83390059771111,False,0.0,0
2022-07-29,100000.0,115.6702880859375,21.329999923706055,107.7919286669477,117.79955754196868,False,0.0,0
2022-08-01,100000.0,115.90438842773438,22.84000015258789,108.41596403316207,117.7694754925364,False,0.0,0
2022-08-02,100000.0,115.6654052734375,23.93000030517578,108.97361335933711,117.73607755255071,False,0.0,0
2022-08-03,100000.0,118.43084716796876,21.950000762939453,109.701092883078,117.74710564168434,False,0.0,0
2022-08-04,100000.0,119.63553619384766,21.440000534057617,110.4652808300603,117.77708072981393,False,0.0,0
2022-08-05,100000.0,118.8210220336914,21.149999618530273,111.10803015341654,117.79365122670089,False,0.0,0
2022-08-08,100000.0,116.7676773071289,21.290000915527344,111.54338762677904,117.77736592639023,False,0.0,0
2022-08-09,100000.0,111.88062286376952,21.770000457763672,111.56932879885524,117.68376683015816,False,0.0,0
2022-08-10,100000.0,116.41162872314452,19.739999771118164,111.94181340841595,117.66357416179288,False,0.0,0
