date,equity,smh,vix,long_shares,short_shares
2023-02-06,100000.0,120.74909210205078,19.43000030517578,0.0,0
2023-02-07,109007.7194889057,124.37467193603516,18.65999984741211,2484.4907301369667,0
2023-02-08,102953.55511923585,121.9378890991211,19.6299991607666,2484.4907301369667,0
2023-02-09,104154.57301132729,122.42129516601562,20.709999084472656,2484.4907301369667,0
2023-02-10,99044.07232657218,120.36433410644533,20.530000686645508,2484.4907301369667,0
2023-02-13,103541.8095543484,122.1746597290039,20.34000015258789,2484.4907301369667,0
2023-02-14,110073.94723831213,124.80382537841795,18.90999984741211,2484.4907301369667,0
2023-02-15,110061.70220495899,124.79889678955078,18.229999542236328,2484.4907301369667,0
2023-02-16,101642.2181960058,121.41007995605467,20.170000076293945,2484.4907301369667,0
2023-02-17,97479.58146013743,119.75267791748048,20.020000457763672,2511.543149451742,0
2023-02-21,88336.60785137891,116.11229705810548,22.8700008392334,2511.543149451742,0
2023-02-22,87041.91579028673,115.54503631591795,22.290000915527344,2282.3579437199423,0
2023-02-23,96386.31116391545,119.63922119140624,21.13999938964844,2282.3579437199423,0
2023-02-24,91511.46958237117,117.50334167480467,21.670000076293945,2282.3579437199423,0
2023-02-27,92716.10155980762,118.03114318847656,20.950000762939453,2282.3579437199423,0
2023-02-28,92851.19168529117,118.09033203125,20.700000762939453,2282.3579437199423,0
2023-03-01,93031.32926561177,118.16925811767578,20.579999923706055,2282.3579437199423,0
2023-03-02,95418.09561257988,119.21500396728516,19.59000015258789,2282.3579437199423,0
2023-03-03,99110.8376506109,120.83295440673828,18.489999771118164,2282.3579437199423,0
2023-03-06,96656.5088278918,119.75760650634766,18.61000061035156,2282.3579437199423,0
2023-03-07,93605.52324444913,118.42083740234376,19.59000015258789,2282.3579437199423,0
2023-03-08,100675.76220169771,121.51861572265624,19.11000061035156,2282.3579437199423,0
2023-03-09,95361.81676679969,119.19034576416016,22.61000061035156,2282.3579437199423,0
2023-03-10,90959.7906244478,117.26162719726562,24.799999237060547,2282.3579437199423,0
2023-03-13,90779.67045713641,117.18270874023438,26.520000457763672,2282.3579437199423,0
2023-03-14,98784.32631483593,120.6898956298828,23.729999542236328,2282.3579437199423,0
2023-03-15,95688.2932765562,119.33338928222656,26.13999938964844,2282.3579437199423,0
2023-03-16,106586.36439731941,124.10830688476562,22.989999771118164,2282.3579437199423,0
2023-03-17,105145.31599378215,123.47692108154295,25.510000228881836,2282.3579437199423,0
2023-03-20,107982.38275902881,124.71996307373048,24.149999618530273,2282.3579437199423,0
2023-03-21,108883.0532476226,125.11458587646484,21.3799991607666,2282.3579437199423,0
2023-03-22,107047.94844556868,124.310546875,22.260000228881836,2282.3579437199423,0
2023-03-23,114591.03766802816,127.6155014038086,22.61000061035156,2282.3579437199423,0
2023-03-24,109986.37633745097,125.5979995727539,21.739999771118164,2282.3579437199423,0
2023-03-27,106642.6432430996,124.13296508789062,20.600000381469727,2282.3579437199423,0
2023-03-28,104672.43090255288,123.2697296142578,19.969999313354492,2282.3579437199423,0
2023-03-29,113431.41831941038,127.107421875,19.1200008392334,2282.3579437199423,0
2023-03-30,117585.74440569067,128.9276123046875,19.020000457763672,2282.3579437199423,0
2023-03-31,119634.73319992228,129.8253631591797,18.700000762939453,2282.3579437199423,0
2023-04-03,117946.01956633189,129.08546447753906,18.549999237060547,2282.3579437199423,0
2023-04-04,113420.20434147646,127.10250854492188,19.0,2282.3579437199423,0
2023-04-05,108342.65791967003,124.87781524658205,19.079999923706055,2282.3579437199423,0
2023-04-06,107487.01747290406,124.50292205810548,18.399999618530273,2282.3579437199423,0
2023-04-10,111787.69990162941,126.38723754882812,18.969999313354492,2282.3579437199423,0
2023-04-11,110256.5740014273,125.71638488769533,19.100000381469727,2282.3579437199423,0
2023-04-12,105156.56479773454,123.48184967041016,19.09000015258789,2282.3579437199423,0
2023-04-13,107430.73862712385,124.47826385498048,17.799999237060547,2282.3579437199423,0
2023-04-14,107126.7771382812,124.34508514404295,17.06999969482422,2282.3579437199423,0
2023-04-17,106924.10712403752,124.25628662109376,16.950000762939453,2282.3579437199423,0
2023-04-18,108196.30157722489,124.81369018554688,16.829999923706055,2282.3579437199423,0
