date,equity
2022-07-05,100000.0
2022-07-06,100000.0
2022-07-07,100000.0
2022-07-08,100000.0
2022-07-11,100000.0
2022-07-12,100000.0
2022-07-13,100000.0
2022-07-14,100000.0
2022-07-15,100000.0
2022-07-18,100000.0
2022-07-19,100000.0
2022-07-20,100000.0
2022-07-21,100000.0
2022-07-22,100000.0
2022-07-25,100000.0
2022-07-26,100000.0
2022-07-27,100000.0
2022-07-28,100000.0
2022-07-29,100000.0
2022-08-01,100000.0
2022-08-02,100000.0
2022-08-03,100000.0
2022-08-04,100000.0
2022-08-05,100000.0
2022-08-08,100000.0
2022-08-09,100000.0
2022-08-10,100000.0
2022-08-11,100000.0
2022-08-12,100000.0
2022-08-15,100000.0
2022-08-16,100000.0
2022-08-17,100000.0
2022-08-18,100000.0
2022-08-19,100000.0
2022-08-22,100000.0
2022-08-23,100000.0
2022-08-24,100000.0
2022-08-25,100000.0
2022-08-26,100000.0
2022-08-29,100000.0
2022-08-30,100000.0
2022-08-31,100000.0
2022-09-01,100000.0
2022-09-02,100000.0
2022-09-06,100000.0
2022-09-07,100000.0
2022-09-08,100000.0
2022-09-09,100000.0
2022-09-12,100000.0
2022-09-13,100000.0
2022-09-14,100000.0
2022-09-15,100000.0
2022-09-16,100000.0
2022-09-19,100000.0
2022-09-20,100000.0
2022-09-21,100000.0
2022-09-22,100000.0
2022-09-23,100000.0
2022-09-26,100000.0
2022-09-27,100000.0
2022-09-28,100000.0
2022-09-29,100000.0
2022-09-30,100000.0
2022-10-03,100000.0
2022-10-04,100000.0
2022-10-05,100000.0
2022-10-06,100000.0
2022-10-07,100000.0
2022-10-10,100000.0
2022-10-11,100000.0
2022-10-12,100000.0
2022-10-13,100000.0
2022-10-14,100000.0
2022-10-17,100000.0
2022-10-18,100000.0
2022-10-19,100000.0
2022-10-20,100000.0
2022-10-21,100000.0
2022-10-24,100000.0
2022-10-25,100000.0
2022-10-26,100000.0
2022-10-27,100000.0
2022-10-28,100000.0
2022-10-31,100000.0
2022-11-01,100000.0
2022-11-02,100000.0
2022-11-03,100000.0
2022-11-04,100000.0
2022-11-07,100000.0
2022-11-08,100000.0
2022-11-09,100000.0
2022-11-10,100000.0
2022-11-11,100000.0
2022-11-14,100000.0
2022-11-15,100000.0
2022-11-16,100000.0
2022-11-17,100000.0
2022-11-18,100000.0
2022-11-21,100000.0
2022-11-22,100000.0
2022-11-23,100000.0
2022-11-25,100000.0
2022-11-28,100000.0
2022-11-29,100000.0
2022-11-30,100000.0
2022-12-01,100000.0
2022-12-02,100000.0
2022-12-05,100000.0
2022-12-06,100000.0
2022-12-07,100000.0
2022-12-08,100000.0
2022-12-09,100000.0
2022-12-12,100000.0
2022-12-13,100000.0
2022-12-14,94300.94971907044
2022-12-15,88926.04407014465
2022-12-16,86856.38297547912
2022-12-19,83857.51668974305
2022-12-20,82628.33758207703
2022-12-21,88219.90219541932
2022-12-22,88219.90219541932
2022-12-23,88219.90219541932
2022-12-27,88219.90219541932
2022-12-28,88219.90219541932
2022-12-29,88219.90219541932
2022-12-30,88219.90219541932
2023-01-03,88219.90219541932
2023-01-04,88219.90219541932
2023-01-05,88219.90219541932
2023-01-06,88219.90219541932
2023-01-09,88219.90219541932
2023-01-10,88219.90219541932
2023-01-11,88219.90219541932
2023-01-12,88219.90219541932
2023-01-13,88219.90219541932
2023-01-17,89790.44559141538
2023-01-18,88126.183323349
2023-01-19,83191.90618986513
2023-01-20,91304.58941740419
2023-01-23,103450.93727201842
2023-01-24,101536.08129972838
2023-01-25,101807.99484342958
2023-01-26,106612.15127653505
2023-01-27,104821.93110746767
2023-01-30,98329.53084654237
2023-01-31,102351.87450498967
2023-02-01,115019.42503446959
2023-02-02,121035.94154447941
2023-02-03,115755.90136045842
2023-02-06,111065.05976194765
2023-02-07,119393.03416532897
2023-02-08,113795.74398893739
2023-02-09,114906.12772459413
2023-02-10,110181.27064604191
2023-02-13,114339.58860105897
2023-02-14,120378.78209776305
2023-02-15,120367.46112913515
2023-02-16,112583.34886259459
2023-02-17,108776.31390470888
2023-02-21,100414.3415460053
2023-02-22,99111.34362120055
2023-02-23,108515.68628019713
2023-02-24,103609.58855528261
2023-02-27,104821.93110746767
2023-02-28,104957.90540403746
2023-03-01,105139.18109983827
2023-03-02,107541.24179167177
2023-03-03,111257.67395109562
2023-03-06,108787.61734861757
2023-03-07,105717.04119200136
2023-03-08,112832.63799375917
2023-03-09,107484.61942381288
2023-03-10,103054.35287565614
2023-03-13,102873.07717985536
2023-03-14,110929.10299009706
2023-03-15,107813.19038481142
2023-03-16,118781.17611784364
2023-03-17,117330.88292784117
2023-03-20,120186.15038389592
2023-03-21,121092.61648649599
2023-03-22,119245.721375412
2023-03-23,126837.20192808534
2023-03-24,122203.00022215272
2023-03-27,118837.81601042177
2023-03-28,116854.98165220644
2023-03-29,125670.1257256928
2023-03-30,129851.08561796571
2023-03-31,131913.28942961124
2023-04-03,130213.7421578827
2023-04-04,125658.82228178404
2023-04-05,120548.75434965517
2023-04-06,119687.6071710053
2023-04-10,124015.89737791444
2023-04-11,122474.94881529237
2023-04-12,117342.20389646913
2023-04-13,119630.98480314638
2023-04-14,119325.03825468446
2023-04-17,119121.08557218937
2023-04-18,120401.44155973817
2023-04-19,117682.13087553404
2023-04-20,117999.36334318544
2023-04-21,115087.40342039491
2023-04-24,113580.45281309511
2023-04-25,104708.61627287294
2023-04-26,106600.83030790709
2023-04-27,109240.841637558
2023-04-28,113852.38388151552
2023-05-01,115993.86952299504
2023-05-02,113546.47238249208
2023-05-03,110657.15439695741
2023-05-04,109728.0638818207
2023-05-05,115563.3046960297
2023-05-08,117126.91272062687
2023-05-09,112753.32111448671
2023-05-10,115019.42503446959
2023-05-11,112526.72649473573
2023-05-12,112209.47650236513
2023-05-15,119506.33147520448
2023-05-16,119438.35308927919
2023-05-17,127165.77288908388
2023-05-18,137453.90466398624
2023-05-19,135777.03437895206
2023-05-22,135527.76277250674
2023-05-23,131176.79557890323
2023-05-24,126803.22149748231
2023-05-25,152002.3657845917
2023-05-26,167638.51612944034
2023-05-30,169247.49565214542
2023-05-31,160772.19093412784
2023-06-01,165689.66220182803
2023-06-02,164873.88652128604
2023-06-05,160726.87201017764
2023-06-06,163038.34742826846
2023-06-07,161157.4894113007
2023-06-08,164941.8473824921
2023-06-09,166460.1540078583
2023-06-12,176295.06149382022
2023-06-13,181031.25706571963
2023-06-14,186311.31477445987
2023-06-15,183773.24473661807
2023-06-16,181280.56372160342
2023-06-20,180056.81257719424
2023-06-21,172125.44009489444
2023-06-22,173802.3454293671
2023-06-23,168023.7795571747
2023-06-26,166482.83099455264
2023-06-27,177042.91136259463
2023-06-28,173938.30220121768
2023-06-29,173439.75898832706
2023-06-30,178719.8166970673
2023-07-03,181779.07188505557
2023-07-05,175207.33722013858
2023-07-06,171150.99560636905
2023-07-07,171468.29817289737
2023-07-10,176249.7776193085
2023-07-11,176612.32901091006
2023-07-12,183818.56366056827
2023-07-13,192225.8724679413
2023-07-14,189257.22007841495
2023-07-17,195874.27366728213
2023-07-18,196871.3250436249
